log2_N,init_T,1_FFT_T,Transpose_T,2_FFT_T,RMS_T,totalFFT_T,total_T
8,18413,4102,2090,4088,1,10280,28694
8,17881,4019,2093,4088,0,10200,28081
8,17922,4097,2088,4053,0,10238,28160
8,17877,4105,2093,4099,0,10297,28174
8,23940,4128,2097,4083,0,10308,34248
8,17856,4100,2102,4097,0,10299,28155
8,17870,4074,2069,4100,1,10243,28114
8,17905,4099,2092,4022,1,10213,28119
8,17879,4102,2090,4102,0,10294,28173
8,17881,4019,2094,4092,0,10205,28086
9,72027,13462,8257,13441,0,35160,107187
9,70933,13487,8268,13455,0,35210,106143
9,70984,13463,8245,13432,0,35140,106124
9,70942,13443,8256,13444,1,35143,106086
9,70983,13451,8201,13455,0,35107,106090
9,70910,13477,8239,13447,1,35163,106074
9,70928,13437,8237,13435,0,35109,106037
9,70984,13448,8220,13441,0,35109,106093
9,70946,13457,8268,13444,1,35169,106116
9,73963,13465,8217,13450,1,35132,109096
10,290179,45882,32747,45849,0,124478,414657
10,283047,45867,32762,45882,0,124511,407558
10,285898,45892,32739,45860,1,124491,410390
10,286034,45918,32726,45863,1,124507,410542
10,283054,45874,32748,45860,1,124482,407537
10,285982,45915,32737,45847,1,124499,410482
10,286051,45905,32733,45885,1,124523,410575
10,282979,45878,32732,45830,0,124440,407419
10,286010,45899,32753,45892,0,124544,410554
10,286804,45924,32738,45860,0,124522,411326
